function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
sphere,5,1,0,gaussian,2.0,0,6.229968251127417,-0.1879991065293511,-6.229968251127417,0.1879991065293511,s01_batch1,
sphere,5,1,0,gaussian,2.0,1,0.6112552218397376,-1.656009501727842,-0.6112552218397376,1.656009501727842,s01_batch1,
sphere,5,1,0,gaussian,2.0,2,-5.969141848504414,-6.152471349085892,5.969141848504414,6.152471349085892,s01_batch1,
sphere,5,1,0,gaussian,2.0,3,2.567575789629556,-0.6869559460895875,-2.567575789629556,0.6869559460895875,s01_batch1,
sphere,5,1,0,gaussian,2.0,4,2.886142661182088,-0.7543766105849652,-2.886142661182088,0.7543766105849652,s01_batch1,
sphere,5,1,1,gaussian,2.0,0,6.506643821527567,-0.0944743634015972,-6.506643821527567,0.0944743634015972,s01_batch1,
sphere,5,1,1,gaussian,2.0,1,4.575674797194708,-0.089204638878268,-4.575674797194708,0.089204638878268,s01_batch1,
sphere,5,1,1,gaussian,2.0,2,3.668079793397761,-0.1499605579389933,-3.668079793397761,0.1499605579389933,s01_batch1,
sphere,5,1,1,gaussian,2.0,3,3.7445350616122304,-0.1060268607410469,-3.7445350616122304,0.1060268607410469,s01_batch1,
sphere,5,1,1,gaussian,2.0,4,3.662122694234092,-0.1646550268420885,-3.662122694234092,0.1646550268420885,s01_batch1,
sphere,5,1,2,gaussian,2.0,0,6.140938707747779,-0.0715604372825254,-6.140938707747779,0.0715604372825254,s01_batch1,
sphere,5,1,2,gaussian,2.0,1,4.670731352561013,-0.0548028736675041,-4.670731352561013,0.0548028736675041,s01_batch1,
sphere,5,1,2,gaussian,2.0,2,2.939043943102238,-0.1437630796941404,-2.939043943102238,0.1437630796941404,s01_batch1,
sphere,5,1,2,gaussian,2.0,3,1.7764003390917806,-0.2308532744400548,-1.7764003390917806,0.2308532744400548,s01_batch1,
sphere,5,1,2,gaussian,2.0,4,3.911391500867478,-0.1424665360306453,-3.911391500867478,0.1424665360306453,s01_batch1,
sphere,5,hw,0,gaussian,2.0,0,3.9172770195464968,-1.45422625401091,-3.9172770195464968,1.45422625401091,s01_batch1,
sphere,5,hw,0,gaussian,2.0,1,-1.5618472338756595,-3.6730028322566937,1.5618472338756595,3.6730028322566937,s01_batch1,
sphere,5,hw,0,gaussian,2.0,2,1.7236556506339429,-1.3006082125683902,-1.7236556506339429,1.3006082125683902,s01_batch1,
sphere,5,hw,0,gaussian,2.0,3,2.42929398926233,-1.122767311945339,-2.42929398926233,1.122767311945339,s01_batch1,
sphere,5,hw,0,gaussian,2.0,4,3.4325353507271448,-0.9372896611518572,-3.4325353507271448,0.9372896611518572,s01_batch1,
sphere,5,hw,1,gaussian,2.0,0,6.486855396496568,-0.1138638506871174,-6.486855396496568,0.1138638506871174,s01_batch1,
sphere,5,hw,1,gaussian,2.0,1,4.500413203219473,-0.0967927370245973,-4.500413203219473,0.0967927370245973,s01_batch1,
sphere,5,hw,1,gaussian,2.0,2,3.777790186203892,-0.1768422362737697,-3.777790186203892,0.1768422362737697,s01_batch1,
sphere,5,hw,1,gaussian,2.0,3,3.870105485786618,-0.052746375248867,-3.870105485786618,0.052746375248867,s01_batch1,
sphere,5,hw,1,gaussian,2.0,4,4.362298608110627,-0.1548021305955947,-4.362298608110627,0.1548021305955947,s01_batch1,
sphere,5,hw,2,gaussian,2.0,0,5.714243947963322,-0.1203077502669633,-5.714243947963322,0.1203077502669633,s01_batch1,
sphere,5,hw,2,gaussian,2.0,1,4.641811532928722,-0.112886218838644,-4.641811532928722,0.112886218838644,s01_batch1,
sphere,5,hw,2,gaussian,2.0,2,2.843838028753797,-0.1080083189531063,-2.843838028753797,0.1080083189531063,s01_batch1,
sphere,5,hw,2,gaussian,2.0,3,2.7537516035303384,-0.1829972038030239,-2.7537516035303384,0.1829972038030239,s01_batch1,
sphere,5,hw,2,gaussian,2.0,4,4.080740800595772,-0.0864561698214883,-4.080740800595772,0.0864561698214883,s01_batch1,
rosenbrock,5,1,0,gaussian,2.0,0,0.7250088282635412,-5.400582866558194,-0.7250088282635412,5.400582866558194,s01_batch1,
rosenbrock,5,1,0,gaussian,2.0,1,-19.30396155333564,-23.010346372061363,19.30396155333564,23.010346372061363,s01_batch1,
rosenbrock,5,1,0,gaussian,2.0,2,-23.195378527477576,-23.88167701464075,23.195378527477576,23.88167701464075,s01_batch1,
rosenbrock,5,1,0,gaussian,2.0,3,-38.09701709526404,-38.71449306523667,38.09701709526404,38.71449306523667,s01_batch1,
rosenbrock,5,1,0,gaussian,2.0,4,-4.994353660706302,-7.9699691417355805,4.994353660706302,7.9699691417355805,s01_batch1,
rosenbrock,5,1,1,gaussian,2.0,0,-1.2730378898132837,-4.908690716335435,1.2730378898132837,4.908690716335435,s01_batch1,
rosenbrock,5,1,1,gaussian,2.0,1,-6.09055912388412,-6.728568256345011,6.09055912388412,6.728568256345011,s01_batch1,
rosenbrock,5,1,1,gaussian,2.0,2,-9.757566453632196,-9.173343319722184,9.757566453632196,9.173343319722184,s01_batch1,
rosenbrock,5,1,1,gaussian,2.0,3,-5.560875794134768,-8.56265650793683,5.560875794134768,8.56265650793683,s01_batch1,
rosenbrock,5,1,1,gaussian,2.0,4,-3.102264199695159,-4.942969283044175,3.102264199695159,4.942969283044175,s01_batch1,
rosenbrock,5,1,2,gaussian,2.0,0,-7.864900203628549,-9.885755309879569,7.864900203628549,9.885755309879569,s01_batch1,
rosenbrock,5,1,2,gaussian,2.0,1,-18.22767494125149,-18.842653346552,18.22767494125149,18.842653346552,s01_batch1,
rosenbrock,5,1,2,gaussian,2.0,2,-19.79575780932597,-19.000346297154497,19.79575780932597,19.000346297154497,s01_batch1,
rosenbrock,5,1,2,gaussian,2.0,3,-9.264492862681127,-8.488551799989555,9.264492862681127,8.488551799989555,s01_batch1,
rosenbrock,5,1,2,gaussian,2.0,4,-20.090125272380384,-21.706768212445457,20.090125272380384,21.706768212445457,s01_batch1,
rosenbrock,5,hw,0,gaussian,2.0,0,-5.123247615635597,-8.472443130465273,5.123247615635597,8.472443130465273,s01_batch1,
rosenbrock,5,hw,0,gaussian,2.0,1,-17.174742615938225,-18.77712952185005,17.174742615938225,18.77712952185005,s01_batch1,
rosenbrock,5,hw,0,gaussian,2.0,2,-23.79419071679045,-24.480489203953624,23.79419071679045,24.480489203953624,s01_batch1,
rosenbrock,5,hw,0,gaussian,2.0,3,-15.933063725594488,-18.971090416248177,15.933063725594488,18.971090416248177,s01_batch1,
rosenbrock,5,hw,0,gaussian,2.0,4,-9.896789548953064,-13.55934438068277,9.896789548953064,13.55934438068277,s01_batch1,
rosenbrock,5,hw,1,gaussian,2.0,0,-5.211818372873425,-6.335844584701788,5.211818372873425,6.335844584701788,s01_batch1,
rosenbrock,5,hw,1,gaussian,2.0,1,-1.9845114060186893,-4.518244534815053,1.9845114060186893,4.518244534815053,s01_batch1,
rosenbrock,5,hw,1,gaussian,2.0,2,-7.408677799390221,-6.6132662872187495,7.408677799390221,6.6132662872187495,s01_batch1,
rosenbrock,5,hw,1,gaussian,2.0,3,-5.187352315699396,-6.056252482308741,5.187352315699396,6.056252482308741,s01_batch1,
rosenbrock,5,hw,1,gaussian,2.0,4,-1.185120306816735,-4.79844157617587,1.185120306816735,4.79844157617587,s01_batch1,
rosenbrock,5,hw,2,gaussian,2.0,0,-10.679736109568468,-11.803762321396832,10.679736109568468,11.803762321396832,s01_batch1,
rosenbrock,5,hw,2,gaussian,2.0,1,-19.003347625176836,-19.618326030477345,19.003347625176836,19.618326030477345,s01_batch1,
rosenbrock,5,hw,2,gaussian,2.0,2,-18.30141373002849,-14.971536676884332,18.30141373002849,14.971536676884332,s01_batch1,
rosenbrock,5,hw,2,gaussian,2.0,3,-8.000842982694714,-8.040826411183648,8.000842982694714,8.040826411183648,s01_batch1,
rosenbrock,5,hw,2,gaussian,2.0,4,-19.18185876904467,-20.798501709109743,19.18185876904467,20.798501709109743,s01_batch1,
ackley,5,1,0,gaussian,2.0,0,1.2251065987416352,-5.310469037328179,-1.2251065987416352,5.310469037328179,s01_batch1,
ackley,5,1,0,gaussian,2.0,1,-5.266678491371561,-7.620436677129712,5.266678491371561,7.620436677129712,s01_batch1,
ackley,5,1,0,gaussian,2.0,2,-2.239828613086493,-4.695481226486116,2.239828613086493,4.695481226486116,s01_batch1,
ackley,5,1,0,gaussian,2.0,3,-4.5616589216130885,-6.393449073962319,4.5616589216130885,6.393449073962319,s01_batch1,
ackley,5,1,0,gaussian,2.0,4,0.8481707653625468,-3.4191100541361483,-0.8481707653625468,3.4191100541361483,s01_batch1,
ackley,5,1,1,gaussian,2.0,0,-0.0827760330567004,-5.912180999200437,0.0827760330567004,5.912180999200437,s01_batch1,
ackley,5,1,1,gaussian,2.0,1,-1.8171574179406256,-5.5199082954115255,1.8171574179406256,5.5199082954115255,s01_batch1,
ackley,5,1,1,gaussian,2.0,2,-0.935605106821244,-4.823404959724879,0.935605106821244,4.823404959724879,s01_batch1,
ackley,5,1,1,gaussian,2.0,3,-4.5616589216130885,-6.628169806404948,4.5616589216130885,6.628169806404948,s01_batch1,
ackley,5,1,1,gaussian,2.0,4,-1.3707538194801776,-4.173987789570415,1.3707538194801776,4.173987789570415,s01_batch1,
ackley,5,1,2,gaussian,2.0,0,2.1716109806063093,-4.0463822655749695,-2.1716109806063093,4.0463822655749695,s01_batch1,
ackley,5,1,2,gaussian,2.0,1,-5.266678491371561,-7.620436677129712,5.266678491371561,7.620436677129712,s01_batch1,
ackley,5,1,2,gaussian,2.0,2,-0.4391544655230621,-3.352931343104228,0.4391544655230621,3.352931343104228,s01_batch1,
