function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
sphere,5,1,0,gaussian_mixture,2.0,0,4.709320639866433,-1.055625690159524,-4.709320639866433,1.055625690159524,s01_batch1,
sphere,5,1,0,gaussian_mixture,2.0,1,6.824172944735836,-0.5516584159660856,-6.824172944735836,0.5516584159660856,s01_batch1,
sphere,5,1,0,gaussian_mixture,2.0,2,1.1164531990490754,-0.3291024878022568,-1.1164531990490754,0.3291024878022568,s01_batch1,
sphere,5,1,0,gaussian_mixture,2.0,3,4.067139243164719,-0.9286888572832136,-4.067139243164719,0.9286888572832136,s01_batch1,
sphere,5,1,0,gaussian_mixture,2.0,4,-0.8001591260515539,-1.4959246273031317,0.8001591260515539,1.4959246273031317,s01_batch1,
sphere,5,1,1,gaussian_mixture,2.0,0,5.672000295224187,-0.0719471043278142,-5.672000295224187,0.0719471043278142,s01_batch1,
sphere,5,1,1,gaussian_mixture,2.0,1,1.7512642276015573,-0.1840142093204347,-1.7512642276015573,0.1840142093204347,s01_batch1,
sphere,5,1,1,gaussian_mixture,2.0,2,2.770270324711289,-0.1089954759460587,-2.770270324711289,0.1089954759460587,s01_batch1,
sphere,5,1,1,gaussian_mixture,2.0,3,0.3868366875698384,-0.5799584378686831,-0.3868366875698384,0.5799584378686831,s01_batch1,
sphere,5,1,1,gaussian_mixture,2.0,4,1.1100283301078269,-0.3519043284283241,-1.1100283301078269,0.3519043284283241,s01_batch1,
sphere,5,1,2,gaussian_mixture,2.0,0,5.906766271980722,-0.0972829909025114,-5.906766271980722,0.0972829909025114,s01_batch1,
sphere,5,1,2,gaussian_mixture,2.0,1,1.337862171536442,-0.1483379597960681,-1.337862171536442,0.1483379597960681,s01_batch1,
sphere,5,1,2,gaussian_mixture,2.0,2,1.719016229293386,-0.2353408039762458,-1.719016229293386,0.2353408039762458,s01_batch1,
sphere,5,1,2,gaussian_mixture,2.0,3,0.1822374917265079,-0.2491342233152712,-0.1822374917265079,0.2491342233152712,s01_batch1,
sphere,5,1,2,gaussian_mixture,2.0,4,-0.4770784699267142,-0.7132488151580109,0.4770784699267142,0.7132488151580109,s01_batch1,
sphere,5,hw,0,gaussian_mixture,2.0,0,5.273335034396097,-0.6351500598515791,-5.273335034396097,0.6351500598515791,s01_batch1,
sphere,5,hw,0,gaussian_mixture,2.0,1,5.120231847110185,-1.2489802797969336,-5.120231847110185,1.2489802797969336,s01_batch1,
sphere,5,hw,0,gaussian_mixture,2.0,2,2.8056596182618514,-0.0975047251745916,-2.8056596182618514,0.0975047251745916,s01_batch1,
sphere,5,hw,0,gaussian_mixture,2.0,3,5.144253365364137,-0.2766022942927766,-5.144253365364137,0.2766022942927766,s01_batch1,
sphere,5,hw,0,gaussian_mixture,2.0,4,-1.5240237452904415,-2.5118466144591878,1.5240237452904415,2.5118466144591878,s01_batch1,
sphere,5,hw,1,gaussian_mixture,2.0,0,5.654885876141707,-0.1365309972556733,-5.654885876141707,0.1365309972556733,s01_batch1,
sphere,5,hw,1,gaussian_mixture,2.0,1,1.63496513130485,-0.0573361776447536,-1.63496513130485,0.0573361776447536,s01_batch1,
sphere,5,hw,1,gaussian_mixture,2.0,2,2.744876802590189,-0.1044164005197562,-2.744876802590189,0.1044164005197562,s01_batch1,
sphere,5,hw,1,gaussian_mixture,2.0,3,0.9986716495064538,-0.2457711087570294,-0.9986716495064538,0.2457711087570294,s01_batch1,
sphere,5,hw,1,gaussian_mixture,2.0,4,1.151852824096823,-0.3519122983114006,-1.151852824096823,0.3519122983114006,s01_batch1,
sphere,5,hw,2,gaussian_mixture,2.0,0,5.6542943280543305,-0.0925809609629014,-5.6542943280543305,0.0925809609629014,s01_batch1,
sphere,5,hw,2,gaussian_mixture,2.0,1,1.6127396782752037,-0.0802361458777623,-1.6127396782752037,0.0802361458777623,s01_batch1,
sphere,5,hw,2,gaussian_mixture,2.0,2,1.968970385989908,-0.150333690725749,-1.968970385989908,0.150333690725749,s01_batch1,
sphere,5,hw,2,gaussian_mixture,2.0,3,0.6352414432953144,-0.3492290556814009,-0.6352414432953144,0.3492290556814009,s01_batch1,
sphere,5,hw,2,gaussian_mixture,2.0,4,-0.7607267690338474,-0.7132318713860899,0.7607267690338474,0.7132318713860899,s01_batch1,
rosenbrock,5,1,0,gaussian_mixture,2.0,0,-12.641989021979068,-14.057749467784898,12.641989021979068,14.057749467784898,s01_batch1,
rosenbrock,5,1,0,gaussian_mixture,2.0,1,-32.404614999214694,-40.44090293830672,32.404614999214694,40.44090293830672,s01_batch1,
rosenbrock,5,1,0,gaussian_mixture,2.0,2,-26.289017350025794,-26.305995328032832,26.289017350025794,26.305995328032832,s01_batch1,
rosenbrock,5,1,0,gaussian_mixture,2.0,3,-40.80208062460558,-39.94166022213837,40.80208062460558,39.94166022213837,s01_batch1,
rosenbrock,5,1,0,gaussian_mixture,2.0,4,-13.25367957998242,-13.43121118878324,13.25367957998242,13.43121118878324,s01_batch1,
rosenbrock,5,1,1,gaussian_mixture,2.0,0,-8.001227373228662,-7.161536199231509,8.001227373228662,7.161536199231509,s01_batch1,
rosenbrock,5,1,1,gaussian_mixture,2.0,1,-3.5009121843704154,-11.537200123462444,3.5009121843704154,11.537200123462444,s01_batch1,
rosenbrock,5,1,1,gaussian_mixture,2.0,2,-10.048817561025023,-9.00701436971184,10.048817561025023,9.00701436971184,s01_batch1,
rosenbrock,5,1,1,gaussian_mixture,2.0,3,-7.659220421774664,-7.174506079580913,7.659220421774664,7.174506079580913,s01_batch1,
rosenbrock,5,1,1,gaussian_mixture,2.0,4,-7.796015807020339,-6.259972934401537,7.796015807020339,6.259972934401537,s01_batch1,
rosenbrock,5,1,2,gaussian_mixture,2.0,0,-17.36163756379049,-16.811131074377634,17.36163756379049,16.811131074377634,s01_batch1,
rosenbrock,5,1,2,gaussian_mixture,2.0,1,-10.784628228162497,-9.929231364970018,10.784628228162497,9.929231364970018,s01_batch1,
rosenbrock,5,1,2,gaussian_mixture,2.0,2,-35.6614253133099,-36.20578871126154,35.6614253133099,36.20578871126154,s01_batch1,
rosenbrock,5,1,2,gaussian_mixture,2.0,3,-21.694468606015093,-22.33775530538458,21.694468606015093,22.33775530538458,s01_batch1,
rosenbrock,5,1,2,gaussian_mixture,2.0,4,-19.86986026391432,-19.5220070855746,19.86986026391432,19.5220070855746,s01_batch1,
rosenbrock,5,hw,0,gaussian_mixture,2.0,0,-6.157956293349925,-9.368184940893332,6.157956293349925,9.368184940893332,s01_batch1,
rosenbrock,5,hw,0,gaussian_mixture,2.0,1,-10.436293291536169,-10.323611466108352,10.436293291536169,10.323611466108352,s01_batch1,
rosenbrock,5,hw,0,gaussian_mixture,2.0,2,-38.96450596441876,-38.2264994322126,38.96450596441876,38.2264994322126,s01_batch1,
rosenbrock,5,hw,0,gaussian_mixture,2.0,3,-33.28734329306143,-32.42692289059422,33.28734329306143,32.42692289059422,s01_batch1,
rosenbrock,5,hw,0,gaussian_mixture,2.0,4,-12.605575715741688,-13.980181001238636,12.605575715741688,13.980181001238636,s01_batch1,
rosenbrock,5,hw,1,gaussian_mixture,2.0,0,-7.847898792409043,-7.00820761841189,7.847898792409043,7.00820761841189,s01_batch1,
rosenbrock,5,hw,1,gaussian_mixture,2.0,1,-7.797352034125184,-6.914534113222471,7.797352034125184,6.914534113222471,s01_batch1,
rosenbrock,5,hw,1,gaussian_mixture,2.0,2,-9.848470882066891,-10.645785048781573,9.848470882066891,10.645785048781573,s01_batch1,
rosenbrock,5,hw,1,gaussian_mixture,2.0,3,-7.58605667018877,-7.1013423279950185,7.58605667018877,7.1013423279950185,s01_batch1,
rosenbrock,5,hw,1,gaussian_mixture,2.0,4,-7.802080047475943,-6.266037174857141,7.802080047475943,6.266037174857141,s01_batch1,
rosenbrock,5,hw,2,gaussian_mixture,2.0,0,-18.262387495654465,-17.711881006241605,18.262387495654465,17.711881006241605,s01_batch1,
rosenbrock,5,hw,2,gaussian_mixture,2.0,1,-5.7850057543700615,-7.418713735203478,5.7850057543700615,7.418713735203478,s01_batch1,
rosenbrock,5,hw,2,gaussian_mixture,2.0,2,-44.33498585336392,-44.87934925131556,44.33498585336392,44.87934925131556,s01_batch1,
rosenbrock,5,hw,2,gaussian_mixture,2.0,3,-20.180445503992352,-18.152558246698128,20.180445503992352,18.152558246698128,s01_batch1,
rosenbrock,5,hw,2,gaussian_mixture,2.0,4,-16.933162075429866,-18.52327093308343,16.933162075429866,18.52327093308343,s01_batch1,
ackley,5,1,0,gaussian_mixture,2.0,0,2.001834997313842,-3.146063821310737,-2.001834997313842,3.146063821310737,s01_batch1,
ackley,5,1,0,gaussian_mixture,2.0,1,-2.3299010061016387,-8.3029070521166,2.3299010061016387,8.3029070521166,s01_batch1,
ackley,5,1,0,gaussian_mixture,2.0,2,-1.3501978410569642,-6.590406377157592,1.3501978410569642,6.590406377157592,s01_batch1,
ackley,5,1,0,gaussian_mixture,2.0,3,-4.134563398118905,-6.778033921483074,4.134563398118905,6.778033921483074,s01_batch1,
ackley,5,1,0,gaussian_mixture,2.0,4,-2.5640384587932745,-4.620472017434928,2.5640384587932745,4.620472017434928,s01_batch1,
ackley,5,1,1,gaussian_mixture,2.0,0,2.035483315260449,-2.3001519743544283,-2.035483315260449,2.3001519743544283,s01_batch1,
ackley,5,1,1,gaussian_mixture,2.0,1,1.5931705322296512,-4.596962794832265,-1.5931705322296512,4.596962794832265,s01_batch1,
ackley,5,1,1,gaussian_mixture,2.0,2,-1.3501978410569642,-4.807765251714109,1.3501978410569642,4.807765251714109,s01_batch1,
ackley,5,1,1,gaussian_mixture,2.0,3,0.0086349058962067,-5.079415486771087,-0.0086349058962067,5.079415486771087,s01_batch1,
ackley,5,1,1,gaussian_mixture,2.0,4,-2.907701478712074,-3.7748161437893626,2.907701478712074,3.7748161437893626,s01_batch1,
ackley,5,1,2,gaussian_mixture,2.0,0,2.314348359494266,-2.5478110834317147,-2.314348359494266,2.5478110834317147,s01_batch1,
ackley,5,1,2,gaussian_mixture,2.0,1,0.4836858086388664,-5.018794510186982,-0.4836858086388664,5.018794510186982,s01_batch1,
ackley,5,1,2,gaussian_mixture,2.0,2,-1.3501978410569642,-5.320758789385607,1.3501978410569642,5.320758789385607,s01_batch1,
ackley,5,1,2,gaussian_mixture,2.0,3,-3.683545469552125,-5.046927748092791,3.683545469552125,5.046927748092791,s01_batch1,
ackley,5,1,2,gaussian_mixture,2.0,4,-1.2899087845520452,-3.096482719598083,1.2899087845520452,3.096482719598083,s01_batch1,
ackley,5,hw,0,gaussian_mixture,2.0,0,2.7176421629563685,-2.96838162245388,-2.7176421629563685,2.96838162245388,s01_batch1,
ackley,5,hw,0,gaussian_mixture,2.0,1,-2.0302420585022904,-8.375298667441182,2.0302420585022904,8.375298667441182,s01_batch1,
ackley,5,hw,0,gaussian_mixture,2.0,2,-1.3501978410569642,-6.03747812489123,1.3501978410569642,6.03747812489123,s01_batch1,
ackley,5,hw,0,gaussian_mixture,2.0,3,-3.7836904390935335,-4.924186810327853,3.7836904390935335,4.924186810327853,s01_batch1,
ackley,5,hw,0,gaussian_mixture,2.0,4,-2.0757363483708238,-3.972503557118746,2.0757363483708238,3.972503557118746,s01_batch1,
ackley,5,hw,1,gaussian_mixture,2.0,0,3.1356302836966585,-2.3505369576895423,-3.1356302836966585,2.3505369576895423,s01_batch1,
ackley,5,hw,1,gaussian_mixture,2.0,1,3.314095563594192,-3.1688999235497417,-3.314095563594192,3.1688999235497417,s01_batch1,
ackley,5,hw,1,gaussian_mixture,2.0,2,-1.3501978410569642,-6.552142151876222,1.3501978410569642,6.552142151876222,s01_batch1,
ackley,5,hw,1,gaussian_mixture,2.0,3,-4.040830857374533,-3.9687606367719046,4.040830857374533,3.9687606367719046,s01_batch1,
ackley,5,hw,1,gaussian_mixture,2.0,4,-1.777897299858028,-3.633935955780878,1.777897299858028,3.633935955780878,s01_batch1,
ackley,5,hw,2,gaussian_mixture,2.0,0,1.2314888210531754,-3.2697836203030985,-1.2314888210531754,3.2697836203030985,s01_batch1,
ackley,5,hw,2,gaussian_mixture,2.0,1,1.1156501007880166,-5.239682156913005,-1.1156501007880166,5.239682156913005,s01_batch1,
ackley,5,hw,2,gaussian_mixture,2.0,2,-1.3501978410569642,-6.590406377157592,1.3501978410569642,6.590406377157592,s01_batch1,
ackley,5,hw,2,gaussian_mixture,2.0,3,-3.897066596572031,-4.760546125543378,3.897066596572031,4.760546125543378,s01_batch1,
ackley,5,hw,2,gaussian_mixture,2.0,4,-0.4051902753742435,-2.271871626916824,0.4051902753742435,2.271871626916824,s01_batch1,
rastrigin,5,1,0,gaussian_mixture,2.0,0,-18.58723288503938,-21.512923299502702,18.58723288503938,21.512923299502702,s01_batch1,
