function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
sphere,5,1,0,heteroscedastic,2.0,0,6.373941049729396,-0.1098771054662049,-6.373941049729396,0.1098771054662049,s01_batch1,
sphere,5,1,0,heteroscedastic,2.0,1,-6.6544254962611324,-8.217837723115132,6.6544254962611324,8.217837723115132,s01_batch1,
sphere,5,1,0,heteroscedastic,2.0,2,2.133971857409682,-0.4311778979580457,-2.133971857409682,0.4311778979580457,s01_batch1,
sphere,5,1,0,heteroscedastic,2.0,3,2.386465306122884,-1.5011129279899773,-2.386465306122884,1.5011129279899773,s01_batch1,
sphere,5,1,0,heteroscedastic,2.0,4,2.336608665622294,-1.410845977900005,-2.336608665622294,1.410845977900005,s01_batch1,
sphere,5,1,1,heteroscedastic,2.0,0,6.528667434716803,-0.0347641124517112,-6.528667434716803,0.0347641124517112,s01_batch1,
sphere,5,1,1,heteroscedastic,2.0,1,3.9821643099624375,-0.223254923212981,-3.9821643099624375,0.223254923212981,s01_batch1,
sphere,5,1,1,heteroscedastic,2.0,2,3.674976707098613,-0.1503615703002558,-3.674976707098613,0.1503615703002558,s01_batch1,
sphere,5,1,1,heteroscedastic,2.0,3,3.8423768856134206,-0.0447080491203555,-3.8423768856134206,0.0447080491203555,s01_batch1,
sphere,5,1,1,heteroscedastic,2.0,4,4.5663189789942376,-0.1014359326345556,-4.5663189789942376,0.1014359326345556,s01_batch1,
sphere,5,1,2,heteroscedastic,2.0,0,6.3368765630128685,-0.1021164191962226,-6.3368765630128685,0.1021164191962226,s01_batch1,
sphere,5,1,2,heteroscedastic,2.0,1,4.38728912066043,-0.0474511650300428,-4.38728912066043,0.0474511650300428,s01_batch1,
sphere,5,1,2,heteroscedastic,2.0,2,2.9447693838223903,-0.1432782101044778,-2.9447693838223903,0.1432782101044778,s01_batch1,
sphere,5,1,2,heteroscedastic,2.0,3,3.933682165486256,-0.138319144120095,-3.933682165486256,0.138319144120095,s01_batch1,
sphere,5,1,2,heteroscedastic,2.0,4,3.921641793703307,-0.1426998953581375,-3.921641793703307,0.1426998953581375,s01_batch1,
sphere,5,hw,0,heteroscedastic,2.0,0,5.732162795646461,-0.5639956877154615,-5.732162795646461,0.5639956877154615,s01_batch1,
sphere,5,hw,0,heteroscedastic,2.0,1,-0.1550742656268884,-2.1272747670383247,0.1550742656268884,2.1272747670383247,s01_batch1,
sphere,5,hw,0,heteroscedastic,2.0,2,1.7287319005743398,-1.302942623116616,-1.7287319005743398,1.302942623116616,s01_batch1,
sphere,5,hw,0,heteroscedastic,2.0,3,2.028525624602433,-1.01558218707491,-2.028525624602433,1.01558218707491,s01_batch1,
sphere,5,hw,0,heteroscedastic,2.0,4,3.4259062960751825,-0.942532664679398,-3.4259062960751825,0.942532664679398,s01_batch1,
sphere,5,hw,1,heteroscedastic,2.0,0,6.310106575133623,-0.0254272383631062,-6.310106575133623,0.0254272383631062,s01_batch1,
sphere,5,hw,1,heteroscedastic,2.0,1,4.459505678254358,-0.0206580627325826,-4.459505678254358,0.0206580627325826,s01_batch1,
sphere,5,hw,1,heteroscedastic,2.0,2,3.620427182871364,-0.1771554208275741,-3.620427182871364,0.1771554208275741,s01_batch1,
sphere,5,hw,1,heteroscedastic,2.0,3,3.818716454530064,-0.07763868232381,-3.818716454530064,0.07763868232381,s01_batch1,
sphere,5,hw,1,heteroscedastic,2.0,4,4.402691678171744,-0.1974084152404967,-4.402691678171744,0.1974084152404967,s01_batch1,
sphere,5,hw,2,heteroscedastic,2.0,0,6.200228439800511,-0.1067752522225565,-6.200228439800511,0.1067752522225565,s01_batch1,
sphere,5,hw,2,heteroscedastic,2.0,1,4.379259225666248,-0.0668075329456054,-4.379259225666248,0.0668075329456054,s01_batch1,
sphere,5,hw,2,heteroscedastic,2.0,2,2.780761652526642,-0.088087028433183,-2.780761652526642,0.088087028433183,s01_batch1,
sphere,5,hw,2,heteroscedastic,2.0,3,3.70186285963136,-0.1146675717268524,-3.70186285963136,0.1146675717268524,s01_batch1,
sphere,5,hw,2,heteroscedastic,2.0,4,3.6398388595604674,-0.0596963788196738,-3.6398388595604674,0.0596963788196738,s01_batch1,
rosenbrock,5,1,0,heteroscedastic,2.0,0,-4.317963944966499,-5.809846800640839,4.317963944966499,5.809846800640839,s01_batch1,
rosenbrock,5,1,0,heteroscedastic,2.0,1,-11.57018207812792,-12.334307052808832,11.57018207812792,12.334307052808832,s01_batch1,
rosenbrock,5,1,0,heteroscedastic,2.0,2,-49.06557610681783,-49.82665960661943,49.06557610681783,49.82665960661943,s01_batch1,
rosenbrock,5,1,0,heteroscedastic,2.0,3,-31.52299276208024,-34.566825029846385,31.52299276208024,34.566825029846385,s01_batch1,
rosenbrock,5,1,0,heteroscedastic,2.0,4,-4.729420945162834,-8.399366753712703,4.729420945162834,8.399366753712703,s01_batch1,
rosenbrock,5,1,1,heteroscedastic,2.0,0,-6.507945668775395,-3.376911526441936,6.507945668775395,3.376911526441936,s01_batch1,
rosenbrock,5,1,1,heteroscedastic,2.0,1,-8.132395981489399,-9.152273967738518,8.132395981489399,9.152273967738518,s01_batch1,
rosenbrock,5,1,1,heteroscedastic,2.0,2,-8.306212929085715,-9.339056825709728,8.306212929085715,9.339056825709728,s01_batch1,
rosenbrock,5,1,1,heteroscedastic,2.0,3,-5.560161393959209,-6.246688362110641,5.560161393959209,6.246688362110641,s01_batch1,
rosenbrock,5,1,1,heteroscedastic,2.0,4,-2.7838107140914445,-6.253503395395469,2.7838107140914445,6.253503395395469,s01_batch1,
rosenbrock,5,1,2,heteroscedastic,2.0,0,-7.865508659572553,-9.890461972906678,7.865508659572553,9.890461972906678,s01_batch1,
rosenbrock,5,1,2,heteroscedastic,2.0,1,-18.250553035649457,-18.866775307945552,18.250553035649457,18.866775307945552,s01_batch1,
rosenbrock,5,1,2,heteroscedastic,2.0,2,-19.79566146551682,-18.99870919567511,19.79566146551682,18.99870919567511,s01_batch1,
rosenbrock,5,1,2,heteroscedastic,2.0,3,-9.263194640655652,-8.48569303664955,9.263194640655652,8.48569303664955,s01_batch1,
