function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
sphere,5,1,0,student_t,2.0,0,1.7840747561971937,-0.906046173736364,-1.7840747561971937,0.906046173736364,s01_batch1,
sphere,5,1,0,student_t,2.0,1,-0.3057541740776068,-2.135059271396958,0.3057541740776068,2.135059271396958,s01_batch1,
sphere,5,1,0,student_t,2.0,2,3.154672819654346,-1.6472961763249665,-3.154672819654346,1.6472961763249665,s01_batch1,
sphere,5,1,0,student_t,2.0,3,0.7921779162043782,-0.5698291618285912,-0.7921779162043782,0.5698291618285912,s01_batch1,
sphere,5,1,0,student_t,2.0,4,4.40381820515009,-0.2231999592663003,-4.40381820515009,0.2231999592663003,s01_batch1,
sphere,5,1,1,student_t,2.0,0,2.447880197081913,-0.1595291440934733,-2.447880197081913,0.1595291440934733,s01_batch1,
sphere,5,1,1,student_t,2.0,1,5.891100202362285,-0.1118556360171492,-5.891100202362285,0.1118556360171492,s01_batch1,
sphere,5,1,1,student_t,2.0,2,4.941140053081323,-0.0405727401983754,-4.941140053081323,0.0405727401983754,s01_batch1,
sphere,5,1,1,student_t,2.0,3,1.6304532208171283,-0.138493106754414,-1.6304532208171283,0.138493106754414,s01_batch1,
sphere,5,1,1,student_t,2.0,4,2.6019332984911707,-0.3887689063642011,-2.6019332984911707,0.3887689063642011,s01_batch1,
sphere,5,1,2,student_t,2.0,0,1.8806975020420444,-0.2312092399740384,-1.8806975020420444,0.2312092399740384,s01_batch1,
sphere,5,1,2,student_t,2.0,1,2.9532787210930547,-0.0831085440237862,-2.9532787210930547,0.0831085440237862,s01_batch1,
sphere,5,1,2,student_t,2.0,2,1.1678603517804975,-0.0672949920650991,-1.1678603517804975,0.0672949920650991,s01_batch1,
sphere,5,1,2,student_t,2.0,3,1.8060958292634912,-0.0729121650174429,-1.8060958292634912,0.0729121650174429,s01_batch1,
sphere,5,1,2,student_t,2.0,4,5.060323777819391,-0.2357394631765088,-5.060323777819391,0.2357394631765088,s01_batch1,
sphere,5,hw,0,student_t,2.0,0,1.5737272254989654,-1.072328345810139,-1.5737272254989654,1.072328345810139,s01_batch1,
sphere,5,hw,0,student_t,2.0,1,0.1552248913050355,-1.816439834778605,-0.1552248913050355,1.816439834778605,s01_batch1,
sphere,5,hw,0,student_t,2.0,2,4.669521002780442,-0.2723238793754117,-4.669521002780442,0.2723238793754117,s01_batch1,
sphere,5,hw,0,student_t,2.0,3,1.384834265449063,-0.5106803040476897,-1.384834265449063,0.5106803040476897,s01_batch1,
sphere,5,hw,0,student_t,2.0,4,4.758709219371772,-0.1062749011354677,-4.758709219371772,0.1062749011354677,s01_batch1,
sphere,5,hw,1,student_t,2.0,0,1.949618354082777,-0.1093228935289589,-1.949618354082777,0.1093228935289589,s01_batch1,
sphere,5,hw,1,student_t,2.0,1,5.149879948588698,-0.558038029421389,-5.149879948588698,0.558038029421389,s01_batch1,
sphere,5,hw,1,student_t,2.0,2,4.980402728370629,-0.104582051829157,-4.980402728370629,0.104582051829157,s01_batch1,
sphere,5,hw,1,student_t,2.0,3,1.6472404473339248,-0.1109629778999988,-1.6472404473339248,0.1109629778999988,s01_batch1,
sphere,5,hw,1,student_t,2.0,4,4.707386017488241,-0.4321733635564458,-4.707386017488241,0.4321733635564458,s01_batch1,
sphere,5,hw,2,student_t,2.0,0,2.522469224827918,-0.0985270355861352,-2.522469224827918,0.0985270355861352,s01_batch1,
sphere,5,hw,2,student_t,2.0,1,5.563660367056287,-0.0496490993554397,-5.563660367056287,0.0496490993554397,s01_batch1,
sphere,5,hw,2,student_t,2.0,2,1.168862065337724,-0.0534229597392585,-1.168862065337724,0.0534229597392585,s01_batch1,
sphere,5,hw,2,student_t,2.0,3,1.722068696103583,-0.0972692563461812,-1.722068696103583,0.0972692563461812,s01_batch1,
sphere,5,hw,2,student_t,2.0,4,5.159461823234101,-0.2062452169394558,-5.159461823234101,0.2062452169394558,s01_batch1,
rosenbrock,5,1,0,student_t,2.0,0,-3.2674781127180728,-5.804226770377732,3.2674781127180728,5.804226770377732,s01_batch1,
rosenbrock,5,1,0,student_t,2.0,1,-12.01452831648428,-15.015657591493335,12.01452831648428,15.015657591493335,s01_batch1,
