function,dimension,1,hw
ackley,5,-3.4521217024289634,-3.321427522905529
ackley,10,-2.490903788131873,-2.3254511129363635
alpine1,5,-1.4376111769038684,-0.4127980578663699
alpine1,10,-2.079860210019439,-1.2525399311027947
beale,2,-0.6590833991722242,-0.5877950662501161
bohachevsky1,2,-108.10467295637768,-93.21376229610973
booth,2,-0.12197663231673728,-0.06563534369285759
branin,2,-0.12665649297156628,-0.4425793820110564
bukin6,2,-4.8741823468618986,-5.929181929523321
camel3,2,-0.02358715374707343,-0.23723204411478935
camel6,2,-0.11194083080625539,-0.17102362384854025
colville,4,-164.69617787645143,-24.599869682907546
cross_in_tray,2,-0.048822640762078026,-0.021996736269001373
dejong5,2,-18.545986297788026,-29.811870697190933
dixon_price,5,-480.4271665529198,-285.57919054779256
dixon_price,10,-2072.582319978742,-986.8891177533872
drop_wave,5,-0.7627418373244613,-0.7031337411737587
drop_wave,10,-0.833140945824945,-0.8720529239643666
easom,2,-0.9792737795144651,-0.9792737795144651
eggholder,2,-386.309429232405,-264.5144517628602
expanded_scaffer_f6,5,-2.029479591475903,-1.8078631957199445
expanded_scaffer_f6,10,-4.251783618423222,-4.118150999891826
forrester08,1,-0.0023620600554503266,-0.0032147318277759877
goldstein_price,2,-44.35770341248187,-58.349080885679584
griewank,5,-1.6661173553518829,-1.0692045569635773
griewank,10,-2.9181187270927547,-2.1026358308635524
grlee12,5,-2.3257662995627664,-2.7363635050745003
grlee12,10,-5.720719882377952,-6.2892415098118555
hartmann3,3,3.496451025871359,3.4291221789632402
hartmann4,4,3.0334341444912654,3.041807737571612
hartmann6,6,3.010431649258405,3.0066927301788784
holder_table,2,-3.2093597794361584,-2.9921531237266605
levy,5,-2.0870971455016454,-2.782430359651988
levy,10,-11.146951849905069,-8.815067730839704
levy13,2,-1.384689666794142,-2.480027430858974
matyas,2,-0.01885255255876793,-0.005765277928566763
mccormick,2,-0.1774550083260325,-0.015114852575236832
michalewicz,5,3.645742310751443,3.693243070661384
michalewicz,10,5.207890644414644,5.407093828297352
powell,4,-27.852942604524365,-33.15691656156681
power_sum,4,-4.600472169507145,-9.74348845003055
rastrigin,5,-22.721680530633392,-23.701097846821913
rastrigin,10,-58.18426377148863,-46.368633662673496
rosenbrock,5,-20.583870568702842,-22.1896265364784
rosenbrock,10,-180.80155092608163,-63.300813410985484
rotated_hyper_ellipsoid,5,-165.62485666685083,-72.48735475641843
rotated_hyper_ellipsoid,10,-359.5913099189993,-414.8224838566563
schaffer2,2,-0.284475236616552,-0.2504788910056356
schaffer4,2,-0.16777846245160205,-0.16526417259277976
schwefel,5,-813.5957260591413,-763.6703433120545
schwefel,10,-1803.1874924592018,-1881.8168036821312
shekel,4,2.3337334876090443,2.8668628600974655
shubert,2,-131.2411918718432,-117.3605767226979
sphere,5,-0.17314645804293197,-0.1564672180665573
sphere,10,-0.46660297536317036,-0.4300440416494573
styblinski_tang,5,-31.396633836087666,-33.644627649593865
styblinski_tang,10,-93.29943260632996,-94.0530033656689
sum_squares,5,-3.5233220815593485,-1.7332983887888176
sum_squares,10,-12.367020838249857,-8.927385748870705
zakharov,5,-32.608896817458785,-27.42000624152472
zakharov,10,-109.78140192919629,-88.80320179295852
