function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
sphere,5,1.0,0,gaussian,2.0,0,6.229968251127417,-0.1879991065293511,-6.229968251127417,0.1879991065293511
sphere,5,1.0,0,gaussian,2.0,1,0.6112552218397376,-1.656009501727842,-0.6112552218397376,1.656009501727842
sphere,5,1.0,0,gaussian,2.0,2,-5.969141848504414,-6.152471349085892,5.969141848504414,6.152471349085892
sphere,5,1.0,0,gaussian,2.0,3,2.567575789629556,-0.6869559460895875,-2.567575789629556,0.6869559460895875
sphere,5,1.0,0,gaussian,2.0,4,2.886142661182088,-0.7543766105849652,-2.886142661182088,0.7543766105849652
sphere,5,1.0,1,gaussian,2.0,0,6.506643821527567,-0.09447436340159729,-6.506643821527567,0.09447436340159729
sphere,5,1.0,1,gaussian,2.0,1,4.575674797194708,-0.08920463887826804,-4.575674797194708,0.08920463887826804
sphere,5,1.0,1,gaussian,2.0,2,3.6680797933977605,-0.1499605579389933,-3.6680797933977605,0.1499605579389933
sphere,5,1.0,1,gaussian,2.0,3,3.7445350616122304,-0.10602686074104697,-3.7445350616122304,0.10602686074104697
sphere,5,1.0,1,gaussian,2.0,4,3.6621226942340916,-0.16465502684208852,-3.6621226942340916,0.16465502684208852
sphere,5,1.0,2,gaussian,2.0,0,6.140938707747779,-0.0715604372825254,-6.140938707747779,0.0715604372825254
sphere,5,1.0,2,gaussian,2.0,1,4.670731352561013,-0.054802873667504186,-4.670731352561013,0.054802873667504186
sphere,5,1.0,2,gaussian,2.0,2,2.939043943102238,-0.14376307969414046,-2.939043943102238,0.14376307969414046
sphere,5,1.0,2,gaussian,2.0,3,1.7764003390917806,-0.23085327444005488,-1.7764003390917806,0.23085327444005488
sphere,5,1.0,2,gaussian,2.0,4,3.911391500867478,-0.1424665360306453,-3.911391500867478,0.1424665360306453
sphere,5,hw,0,gaussian,2.0,0,3.9172770195464968,-1.45422625401091,-3.9172770195464968,1.45422625401091
sphere,5,hw,0,gaussian,2.0,1,-1.5618472338756595,-3.6730028322566937,1.5618472338756595,3.6730028322566937
sphere,5,hw,0,gaussian,2.0,2,1.7236556506339427,-1.3006082125683902,-1.7236556506339427,1.3006082125683902
sphere,5,hw,0,gaussian,2.0,3,2.4292939892623306,-1.122767311945339,-2.4292939892623306,1.122767311945339
sphere,5,hw,0,gaussian,2.0,4,3.4325353507271448,-0.9372896611518571,-3.4325353507271448,0.9372896611518571
sphere,5,hw,1,gaussian,2.0,0,6.486855396496568,-0.11386385068711749,-6.486855396496568,0.11386385068711749
sphere,5,hw,1,gaussian,2.0,1,4.500413203219473,-0.09679273702459737,-4.500413203219473,0.09679273702459737
sphere,5,hw,1,gaussian,2.0,2,3.777790186203892,-0.17684223627376972,-3.777790186203892,0.17684223627376972
sphere,5,hw,1,gaussian,2.0,3,3.870105485786618,-0.052746375248867064,-3.870105485786618,0.052746375248867064
sphere,5,hw,1,gaussian,2.0,4,4.362298608110627,-0.15480213059559475,-4.362298608110627,0.15480213059559475
sphere,5,hw,2,gaussian,2.0,0,5.714243947963322,-0.12030775026696336,-5.714243947963322,0.12030775026696336
sphere,5,hw,2,gaussian,2.0,1,4.641811532928722,-0.11288621883864403,-4.641811532928722,0.11288621883864403
sphere,5,hw,2,gaussian,2.0,2,2.843838028753797,-0.10800831895310634,-2.843838028753797,0.10800831895310634
sphere,5,hw,2,gaussian,2.0,3,2.7537516035303384,-0.18299720380302398,-2.7537516035303384,0.18299720380302398
sphere,5,hw,2,gaussian,2.0,4,4.0807408005957715,-0.08645616982148832,-4.0807408005957715,0.08645616982148832
rosenbrock,5,1.0,0,gaussian,2.0,0,0.7250088282635412,-5.400582866558194,-0.7250088282635412,5.400582866558194
rosenbrock,5,1.0,0,gaussian,2.0,1,-19.303961553335636,-23.010346372061363,19.303961553335636,23.010346372061363
rosenbrock,5,1.0,0,gaussian,2.0,2,-23.195378527477576,-23.88167701464075,23.195378527477576,23.88167701464075
rosenbrock,5,1.0,0,gaussian,2.0,3,-38.09701709526404,-38.71449306523667,38.09701709526404,38.71449306523667
rosenbrock,5,1.0,0,gaussian,2.0,4,-4.994353660706302,-7.9699691417355805,4.994353660706302,7.9699691417355805
rosenbrock,5,1.0,1,gaussian,2.0,0,-1.2730378898132835,-4.908690716335435,1.2730378898132835,4.908690716335435
rosenbrock,5,1.0,1,gaussian,2.0,1,-6.09055912388412,-6.728568256345011,6.09055912388412,6.728568256345011
rosenbrock,5,1.0,1,gaussian,2.0,2,-9.757566453632196,-9.173343319722184,9.757566453632196,9.173343319722184
rosenbrock,5,1.0,1,gaussian,2.0,3,-5.560875794134768,-8.56265650793683,5.560875794134768,8.56265650793683
rosenbrock,5,1.0,1,gaussian,2.0,4,-3.102264199695159,-4.9429692830441745,3.102264199695159,4.9429692830441745
rosenbrock,5,1.0,2,gaussian,2.0,0,-7.864900203628549,-9.885755309879567,7.864900203628549,9.885755309879567
rosenbrock,5,1.0,2,gaussian,2.0,1,-18.22767494125149,-18.842653346552,18.22767494125149,18.842653346552
rosenbrock,5,1.0,2,gaussian,2.0,2,-19.79575780932597,-19.000346297154497,19.79575780932597,19.000346297154497
rosenbrock,5,1.0,2,gaussian,2.0,3,-9.264492862681129,-8.488551799989555,9.264492862681129,8.488551799989555
rosenbrock,5,1.0,2,gaussian,2.0,4,-20.090125272380384,-21.706768212445457,20.090125272380384,21.706768212445457
rosenbrock,5,hw,0,gaussian,2.0,0,-5.123247615635597,-8.472443130465273,5.123247615635597,8.472443130465273
rosenbrock,5,hw,0,gaussian,2.0,1,-17.174742615938225,-18.77712952185005,17.174742615938225,18.77712952185005
rosenbrock,5,hw,0,gaussian,2.0,2,-23.79419071679045,-24.480489203953624,23.79419071679045,24.480489203953624
rosenbrock,5,hw,0,gaussian,2.0,3,-15.933063725594488,-18.971090416248177,15.933063725594488,18.971090416248177
rosenbrock,5,hw,0,gaussian,2.0,4,-9.896789548953064,-13.55934438068277,9.896789548953064,13.55934438068277
rosenbrock,5,hw,1,gaussian,2.0,0,-5.211818372873425,-6.335844584701788,5.211818372873425,6.335844584701788
