function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
camel3,2,1.0,0,gaussian_mixture,2.0,0,3.8381349673808325,-0.008168422750261434,-3.8381349673808325,0.008168422750261434
camel3,2,1.0,0,gaussian_mixture,2.0,1,2.170012459235232,-0.30919297821748526,-2.170012459235232,0.30919297821748526
camel3,2,1.0,0,gaussian_mixture,2.0,2,1.288026266940466,-0.2087673082970321,-1.288026266940466,0.2087673082970321
camel3,2,1.0,0,gaussian_mixture,2.0,3,1.9921275756461516,-0.813697215577291,-1.9921275756461516,0.813697215577291
camel3,2,1.0,0,gaussian_mixture,2.0,4,-0.7576141854093661,-2.4363141548141556,0.7576141854093661,2.4363141548141556
camel3,2,1.0,1,gaussian_mixture,2.0,0,4.116175993237923,-0.04345209804780328,-4.116175993237923,0.04345209804780328
camel3,2,1.0,1,gaussian_mixture,2.0,1,2.170012459235232,-0.30919297821748526,-2.170012459235232,0.30919297821748526
camel3,2,1.0,1,gaussian_mixture,2.0,2,0.0726386743114309,-0.5290161911319531,-0.0726386743114309,0.5290161911319531
camel3,2,1.0,1,gaussian_mixture,2.0,3,1.4200720215219231,-0.4970042774033545,-1.4200720215219231,0.4970042774033545
camel3,2,1.0,1,gaussian_mixture,2.0,4,-0.07934331562216834,-0.41742681589132336,0.07934331562216834,0.41742681589132336
camel3,2,1.0,2,gaussian_mixture,2.0,0,0.40289638428841923,-0.08621071194041291,-0.40289638428841923,0.08621071194041291
camel3,2,1.0,2,gaussian_mixture,2.0,1,2.170012459235232,-0.30919297821748526,-2.170012459235232,0.30919297821748526
camel3,2,1.0,2,gaussian_mixture,2.0,2,-0.10926604615197794,-0.5290161911319531,0.10926604615197794,0.5290161911319531
camel3,2,1.0,2,gaussian_mixture,2.0,3,2.167826273239384,-0.747850603163708,-2.167826273239384,0.747850603163708
camel3,2,1.0,2,gaussian_mixture,2.0,4,0.7589180741630641,-0.11011305387791287,-0.7589180741630641,0.11011305387791287
camel3,2,hw,0,gaussian_mixture,2.0,0,4.911350644357897,-0.2030348423162569,-4.911350644357897,0.2030348423162569
camel3,2,hw,0,gaussian_mixture,2.0,1,2.170012459235232,-0.30919297821748526,-2.170012459235232,0.30919297821748526
camel3,2,hw,0,gaussian_mixture,2.0,2,1.1750454880590657,-0.4132232969144536,-1.1750454880590657,0.4132232969144536
camel3,2,hw,0,gaussian_mixture,2.0,3,1.9911723316184144,-0.813697215577291,-1.9911723316184144,0.813697215577291
camel3,2,hw,0,gaussian_mixture,2.0,4,-1.2506274241212447,-2.5747524076504407,1.2506274241212447,2.5747524076504407
camel3,2,hw,1,gaussian_mixture,2.0,0,0.45004477041354785,-0.03906232581528432,-0.45004477041354785,0.03906232581528432
camel3,2,hw,1,gaussian_mixture,2.0,1,2.170012459235232,-0.30919297821748526,-2.170012459235232,0.30919297821748526
camel3,2,hw,1,gaussian_mixture,2.0,2,0.07295081834638162,-0.5290161911319531,-0.07295081834638162,0.5290161911319531
camel3,2,hw,1,gaussian_mixture,2.0,3,1.4201953602315278,-0.4970009730831293,-1.4201953602315278,0.4970009730831293
camel3,2,hw,1,gaussian_mixture,2.0,4,-0.08214253253941772,-0.42022603280857274,0.08214253253941772,0.42022603280857274
camel3,2,hw,2,gaussian_mixture,2.0,0,3.4591502628482997,-0.08428251586148804,-3.4591502628482997,0.08428251586148804
camel3,2,hw,2,gaussian_mixture,2.0,1,2.170012459235232,-0.30919297821748526,-2.170012459235232,0.30919297821748526
camel3,2,hw,2,gaussian_mixture,2.0,2,-0.10926604615197794,-0.5290161911319531,0.10926604615197794,0.5290161911319531
camel3,2,hw,2,gaussian_mixture,2.0,3,2.1678645168228217,-0.747850022035982,-2.1678645168228217,0.747850022035982
camel3,2,hw,2,gaussian_mixture,2.0,4,0.7378310165760202,-0.11008841109553022,-0.7378310165760202,0.11008841109553022
camel6,2,1.0,0,gaussian_mixture,2.0,0,4.8574586117234135,-0.0613492783391133,-4.8574586117234135,0.0613492783391133
camel6,2,1.0,0,gaussian_mixture,2.0,1,0.9749090883481029,-0.5094381121516478,-0.9749090883481029,0.5094381121516478
camel6,2,1.0,0,gaussian_mixture,2.0,2,0.3190182636422707,-0.5167567883518095,-0.3190182636422707,0.5167567883518095
camel6,2,1.0,0,gaussian_mixture,2.0,3,2.3171439975936234,-0.267369865414265,-2.3171439975936234,0.267369865414265
camel6,2,1.0,0,gaussian_mixture,2.0,4,-1.1026635214195446,-2.4967787357311564,1.1026635214195446,2.4967787357311564
camel6,2,1.0,1,gaussian_mixture,2.0,0,2.1336109204931275,-0.3653375995299921,-2.1336109204931275,0.3653375995299921
camel6,2,1.0,1,gaussian_mixture,2.0,1,0.9749090883481029,-0.7666201667253945,-0.9749090883481029,0.7666201667253945
camel6,2,1.0,1,gaussian_mixture,2.0,2,0.14316327501315285,-0.42870968231967077,-0.14316327501315285,0.42870968231967077
camel6,2,1.0,1,gaussian_mixture,2.0,3,-0.3127824654642861,-0.07067986686198358,0.3127824654642861,0.07067986686198358
camel6,2,1.0,1,gaussian_mixture,2.0,4,-0.1985141306428524,-1.2059303061119375,0.1985141306428524,1.2059303061119375
camel6,2,1.0,2,gaussian_mixture,2.0,0,4.45506449943067,-0.49216368474264305,-4.45506449943067,0.49216368474264305
camel6,2,1.0,2,gaussian_mixture,2.0,1,0.9749090883481029,-0.3696157743137407,-0.9749090883481029,0.3696157743137407
camel6,2,1.0,2,gaussian_mixture,2.0,2,0.14316327501315285,-0.20520018806532814,-0.14316327501315285,0.20520018806532814
