function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
sphere,5,1.0,0,student_t,2.0,0,1.7840747561971935,-0.9060461737363641,-1.7840747561971935,0.9060461737363641
sphere,5,1.0,0,student_t,2.0,1,-0.30575417407760686,-2.135059271396958,0.30575417407760686,2.135059271396958
sphere,5,1.0,0,student_t,2.0,2,3.154672819654346,-1.6472961763249665,-3.154672819654346,1.6472961763249665
sphere,5,1.0,0,student_t,2.0,3,0.7921779162043782,-0.5698291618285912,-0.7921779162043782,0.5698291618285912
sphere,5,1.0,0,student_t,2.0,4,4.40381820515009,-0.2231999592663003,-4.40381820515009,0.2231999592663003
sphere,5,1.0,1,student_t,2.0,0,2.447880197081913,-0.1595291440934733,-2.447880197081913,0.1595291440934733
sphere,5,1.0,1,student_t,2.0,1,5.891100202362285,-0.11185563601714925,-5.891100202362285,0.11185563601714925
sphere,5,1.0,1,student_t,2.0,2,4.941140053081323,-0.04057274019837542,-4.941140053081323,0.04057274019837542
sphere,5,1.0,1,student_t,2.0,3,1.6304532208171283,-0.13849310675441404,-1.6304532208171283,0.13849310675441404
sphere,5,1.0,1,student_t,2.0,4,2.6019332984911707,-0.3887689063642011,-2.6019332984911707,0.3887689063642011
sphere,5,1.0,2,student_t,2.0,0,1.8806975020420444,-0.23120923997403844,-1.8806975020420444,0.23120923997403844
sphere,5,1.0,2,student_t,2.0,1,2.9532787210930547,-0.08310854402378628,-2.9532787210930547,0.08310854402378628
sphere,5,1.0,2,student_t,2.0,2,1.1678603517804977,-0.06729499206509913,-1.1678603517804977,0.06729499206509913
sphere,5,1.0,2,student_t,2.0,3,1.8060958292634912,-0.07291216501744298,-1.8060958292634912,0.07291216501744298
sphere,5,1.0,2,student_t,2.0,4,5.060323777819391,-0.2357394631765088,-5.060323777819391,0.2357394631765088
sphere,5,hw,0,student_t,2.0,0,1.5737272254989654,-1.072328345810139,-1.5737272254989654,1.072328345810139
sphere,5,hw,0,student_t,2.0,1,0.15522489130503558,-1.816439834778605,-0.15522489130503558,1.816439834778605
sphere,5,hw,0,student_t,2.0,2,4.669521002780442,-0.27232387937541175,-4.669521002780442,0.27232387937541175
sphere,5,hw,0,student_t,2.0,3,1.384834265449063,-0.5106803040476897,-1.384834265449063,0.5106803040476897
sphere,5,hw,0,student_t,2.0,4,4.758709219371772,-0.10627490113546778,-4.758709219371772,0.10627490113546778
sphere,5,hw,1,student_t,2.0,0,1.949618354082777,-0.10932289352895891,-1.949618354082777,0.10932289352895891
sphere,5,hw,1,student_t,2.0,1,5.149879948588698,-0.558038029421389,-5.149879948588698,0.558038029421389
sphere,5,hw,1,student_t,2.0,2,4.980402728370629,-0.104582051829157,-4.980402728370629,0.104582051829157
sphere,5,hw,1,student_t,2.0,3,1.6472404473339248,-0.11096297789999883,-1.6472404473339248,0.11096297789999883
sphere,5,hw,1,student_t,2.0,4,4.707386017488241,-0.4321733635564458,-4.707386017488241,0.4321733635564458
sphere,5,hw,2,student_t,2.0,0,2.522469224827918,-0.09852703558613526,-2.522469224827918,0.09852703558613526
